company_id,type,rule_id,text,confidence_pct
ADANIPORTS,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,65
ADANIPORTS,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,65
ADANIPORTS,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,65
ADANIPORTS,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
ADANIPORTS,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
ADANIPOWER,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
ADANIPOWER,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
ADANIPOWER,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
ADANIPOWER,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
ADANIPOWER,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,65
ADANIPOWER,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
ADANIPOWER,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,65
ADANIPOWER,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,65
ADANIPOWER,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
AMBUJACEM,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,80
AMBUJACEM,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
AMBUJACEM,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
AMBUJACEM,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
AMBUJACEM,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
AMBUJACEM,Con,C01,Return on equity below 10% indicates subpar profitability and capital allocation.,95
AMBUJACEM,Con,C04,Declining earnings per share indicates falling profitability over time.,95
AMBUJACEM,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
AMBUJACEM,Con,C12,High capital expenditure intensity may pressure short-term profitability.,65
APOLLOHOSP,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
APOLLOHOSP,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
APOLLOHOSP,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
APOLLOHOSP,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
APOLLOHOSP,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,80
APOLLOHOSP,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,65
APOLLOHOSP,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
APOLLOHOSP,Con,C12,High capital expenditure intensity may pressure short-term profitability.,65
ASIANPAINT,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
ASIANPAINT,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
ASIANPAINT,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
ASIANPAINT,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
ASIANPAINT,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
ASIANPAINT,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
ASIANPAINT,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
AXISBANK,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
AXISBANK,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
AXISBANK,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,80
AXISBANK,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
AXISBANK,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
AXISBANK,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
AXISBANK,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
AXISBANK,Con,C08,Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,65
AXISBANK,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
BAJAJ-AUTO,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
BAJAJ-AUTO,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BAJAJ-AUTO,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
BAJAJ-AUTO,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
BAJAJ-AUTO,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
BAJAJ-AUTO,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
BAJAJ-AUTO,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
BAJAJFINSV,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
BAJAJFINSV,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BAJAJFINSV,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BAJAJFINSV,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
BAJAJFINSV,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,80
BAJAJFINSV,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
BAJAJFINSV,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
BAJAJFINSV,Con,C12,High capital expenditure intensity may pressure short-term profitability.,65
BAJAJHLDNG,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BAJAJHLDNG,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BAJAJHLDNG,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
BAJAJHLDNG,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
BAJAJHLDNG,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
BAJAJHLDNG,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
BAJAJHLDNG,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
BAJAJHLDNG,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
BAJFINANCE,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJFINANCE,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BAJFINANCE,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BAJFINANCE,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
BAJFINANCE,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,65
BAJFINANCE,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,95
BAJFINANCE,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
BAJFINANCE,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
BAJFINANCE,Con,C12,High capital expenditure intensity may pressure short-term profitability.,80
BANKBARODA,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BANKBARODA,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BANKBARODA,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,65
BANKBARODA,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
BANKBARODA,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
BANKBARODA,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
BANKBARODA,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
BANKBARODA,Con,C08,Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,65
BEL,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
BEL,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BEL,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BEL,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
BEL,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
BEL,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
BEL,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
BEL,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
BEL,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
BEL,Con,C12,High capital expenditure intensity may pressure short-term profitability.,80
BHARTIARTL,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BHARTIARTL,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BHARTIARTL,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
BHARTIARTL,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
BHARTIARTL,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
BHARTIARTL,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,80
BHARTIARTL,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
BHEL,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
BHEL,Con,C01,Return on equity below 10% indicates subpar profitability and capital allocation.,95
BHEL,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
BHEL,Con,C05,Operating margin below 5% shows weak operational efficiency and pricing power.,95
BHEL,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
BHEL,Con,C08,Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,65
BHEL,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
BOSCHLTD,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
BOSCHLTD,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
BOSCHLTD,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BOSCHLTD,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
BOSCHLTD,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
BOSCHLTD,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
BOSCHLTD,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
BOSCHLTD,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
BPCL,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BPCL,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
BPCL,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
BPCL,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
BPCL,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,65
BPCL,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,65
BPCL,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
BRITANNIA,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
BRITANNIA,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
BRITANNIA,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
BRITANNIA,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
BRITANNIA,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
BRITANNIA,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
BRITANNIA,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
BRITANNIA,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
CANBK,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
CANBK,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
CANBK,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,65
CANBK,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
CANBK,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
CANBK,Con,C05,Operating margin below 5% shows weak operational efficiency and pricing power.,95
CANBK,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
CANBK,Con,C08,Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,80
CHOLAFIN,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
CHOLAFIN,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
CHOLAFIN,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
CHOLAFIN,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
CHOLAFIN,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,80
CHOLAFIN,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,95
CHOLAFIN,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
CHOLAFIN,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
CHOLAFIN,Con,C12,High capital expenditure intensity may pressure short-term profitability.,80
CIPLA,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
CIPLA,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
CIPLA,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
CIPLA,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
CIPLA,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
CIPLA,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
CIPLA,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
CIPLA,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
CIPLA,Con,C12,High capital expenditure intensity may pressure short-term profitability.,80
COALINDIA,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
COALINDIA,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
COALINDIA,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
COALINDIA,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
COALINDIA,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
COALINDIA,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
COALINDIA,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
COALINDIA,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
DABUR,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
DABUR,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
DABUR,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
DABUR,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
DABUR,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
DABUR,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
DABUR,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
DIVISLAB,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
DIVISLAB,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
DIVISLAB,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
DIVISLAB,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,65
DIVISLAB,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
DIVISLAB,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
DIVISLAB,Con,C03,Negative revenue compounded annual growth signals business contraction.,95
DIVISLAB,Con,C04,Declining earnings per share indicates falling profitability over time.,95
DLF,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
DLF,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
DLF,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
DLF,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
DLF,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,65
DLF,Con,C01,Return on equity below 10% indicates subpar profitability and capital allocation.,95
DLF,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
DLF,Con,C12,High capital expenditure intensity may pressure short-term profitability.,65
DMART,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
DMART,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
DMART,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
DMART,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
DMART,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
DMART,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
DMART,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
DMART,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
DRREDDY,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
DRREDDY,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
DRREDDY,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
DRREDDY,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
DRREDDY,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
DRREDDY,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
DRREDDY,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
DRREDDY,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
DRREDDY,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
DRREDDY,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
DRREDDY,Con,C12,High capital expenditure intensity may pressure short-term profitability.,80
EICHERMOT,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
EICHERMOT,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
EICHERMOT,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
EICHERMOT,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
EICHERMOT,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
EICHERMOT,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
EICHERMOT,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
EICHERMOT,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
EICHERMOT,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
EICHERMOT,Con,C12,High capital expenditure intensity may pressure short-term profitability.,95
GAIL,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
GAIL,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
GAIL,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
GAIL,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
GAIL,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
GODREJCP,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
GODREJCP,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
GODREJCP,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
GODREJCP,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
GODREJCP,Con,C01,Return on equity below 10% indicates subpar profitability and capital allocation.,95
GODREJCP,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
GODREJCP,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
GODREJCP,Con,C12,High capital expenditure intensity may pressure short-term profitability.,65
GRASIM,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
GRASIM,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
GRASIM,Con,C01,Return on equity below 10% indicates subpar profitability and capital allocation.,95
GRASIM,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
GRASIM,Con,C04,Declining earnings per share indicates falling profitability over time.,95
GRASIM,Con,C06,Consistently negative free cash flow raises concerns about financial sustainability.,65
GRASIM,Con,C12,High capital expenditure intensity may pressure short-term profitability.,80
HAL,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HAL,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
HAL,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
HAL,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
HAL,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
HAL,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
HAL,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
HAL,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
HAL,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
HAL,Con,C12,High capital expenditure intensity may pressure short-term profitability.,65
HAVELLS,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
HAVELLS,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
HAVELLS,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
HAVELLS,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,80
HAVELLS,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
HAVELLS,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
HAVELLS,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
HAVELLS,Con,C12,High capital expenditure intensity may pressure short-term profitability.,65
HCLTECH,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HCLTECH,Pro,P02,Strong return on capital employed above 15% indicates efficient use of both debt and equity.,95
HCLTECH,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
HCLTECH,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
HCLTECH,Pro,P06,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.,95
HCLTECH,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,95
HCLTECH,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
HCLTECH,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
HCLTECH,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
HDFCBANK,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
HDFCBANK,Pro,P07,Consistently positive free cash flow provides financial flexibility for growth and dividends.,65
HDFCBANK,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
HDFCBANK,Con,C05,Operating margin below 5% shows weak operational efficiency and pricing power.,65
HDFCBANK,Con,C07,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.,95
HDFCBANK,Con,C08,Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,95
HDFCBANK,Con,C10,Low cash flow quality suggests potential issues with core business operations.,95
HDFCLIFE,Pro,P03,Double-digit revenue compounded annual growth reflects robust business expansion.,95
HDFCLIFE,Pro,P04,Earnings per share growing above 10% annually shows increasing profitability per share.,95
HDFCLIFE,Pro,P05,Operating margin above 15% highlights strong operational efficiency and pricing power.,95
HDFCLIFE,Pro,P08,Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,95
HDFCLIFE,Pro,P09,Interest coverage ratio above 5x shows strong ability to service debt obligations.,95
HDFCLIFE,Pro,P11,High cash flow from operations quality indicates sustainable core business performance.,95
HDFCLIFE,Con,C02,Return on capital employed below 10% suggests inefficient use of capital resources.,95
