company_id,company_name,pros,cons,confidence
BAJAJ-AUTO,Bajaj Auto Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,95
BAJAJFINSV,Bajaj Finserv Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.,Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,89
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,93
BAJFINANCE,Bajaj Finance Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,90
BANKBARODA,Bank of Baroda,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|High cash flow from operations quality indicates sustainable core business performance.,Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,84
BEL,Bharat Electronics Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,91
BHARTIARTL,Bharti Airtel Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|High cash flow from operations quality indicates sustainable core business performance.,Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|High capital expenditure intensity may pressure short-term profitability.,91
BHEL,"Bharat Heavy Electricals Limited
",Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Operating margin below 5% shows weak operational efficiency and pricing power.|Consistently negative free cash flow raises concerns about financial sustainability.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|Low cash flow quality suggests potential issues with core business operations.,86
BOSCHLTD,Bosch Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
BPCL,Bharat Petroleum Corporation Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,84
BRITANNIA,Britannia Industries Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,93
CANBK,Canara Bank,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|High cash flow from operations quality indicates sustainable core business performance.,Return on capital employed below 10% suggests inefficient use of capital resources.|Operating margin below 5% shows weak operational efficiency and pricing power.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,89
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,92
CIPLA,"Cipla Ltd
",Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,93
COALINDIA,Coal India Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
DABUR,Dabur India Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
DIVISLAB,Divis Laboratories Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Negative revenue compounded annual growth signals business contraction.|Declining earnings per share indicates falling profitability over time.,91
DLF,DLF Ltd,Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|High capital expenditure intensity may pressure short-term profitability.,88
DMART,Avenue Supermarts Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,93
DRREDDY,Dr Reddys Laboratories Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,94
EICHERMOT,Eicher Motors Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,High capital expenditure intensity may pressure short-term profitability.,95
GAIL,GAIL (India) Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,92
GODREJCP,Godrej Consumer Products Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.,Return on equity below 10% indicates subpar profitability and capital allocation.|Consistently negative free cash flow raises concerns about financial sustainability.|Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,88
GRASIM,Grasim Industries Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Declining earnings per share indicates falling profitability over time.|Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,89
HAL,Hindustan Aeronautics Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,90
HAVELLS,Havells India Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,89
HCLTECH,HCL Technologies Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
HDFCBANK,HDFC Bank Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Consistently positive free cash flow provides financial flexibility for growth and dividends.,Return on capital employed below 10% suggests inefficient use of capital resources.|Operating margin below 5% shows weak operational efficiency and pricing power.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|Low cash flow quality suggests potential issues with core business operations.,86
HDFCLIFE,HDFC Life Insurance Company Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,90
HEROMOTOCO,"Hero MotoCorp Ltd
",Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
HINDALCO,Hindalco Industries Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Declining earnings per share indicates falling profitability over time.,86
HINDUNILVR,"Hindustan Unilever Ltd
",Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,92
ICICIBANK,ICICI Bank Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|High cash flow from operations quality indicates sustainable core business performance.,Return on capital employed below 10% suggests inefficient use of capital resources.|Operating margin below 5% shows weak operational efficiency and pricing power.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|High capital expenditure intensity may pressure short-term profitability.,93
ICICIGI,ICICI Lombard General Insurance Company Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,High capital expenditure intensity may pressure short-term profitability.,93
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|High capital expenditure intensity may pressure short-term profitability.,85
INDIGO,Interglobe Aviation Ltd,Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,90
INDUSINDBK,IndusInd Bank Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|High cash flow from operations quality indicates sustainable core business performance.,Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.,84
INFY,Infosys Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,,95
IOC,"Indian Oil Corporation
",Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Declining earnings per share indicates falling profitability over time.|Operating margin below 5% shows weak operational efficiency and pricing power.,82
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Double-digit revenue compounded annual growth reflects robust business expansion.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,90
IRFC,Indian Railway Finance Corporation Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.,Return on capital employed below 10% suggests inefficient use of capital resources.|Debt-to-equity ratio above 2 indicates high leverage and increased financial risk.|Interest coverage ratio below 2x suggests difficulty in servicing debt obligations.|Low cash flow quality suggests potential issues with core business operations.,90
ITC,"ITC Ltd
",Consistently high return on equity above 20% demonstrates exceptional capital efficiency.|Strong return on capital employed above 15% indicates efficient use of both debt and equity.|Earnings per share growing above 10% annually shows increasing profitability per share.|Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,,95
JINDALSTEL,Jindal Steel & Power Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.,Negative revenue compounded annual growth signals business contraction.|Declining earnings per share indicates falling profitability over time.|Consistently negative free cash flow raises concerns about financial sustainability.|Low cash flow quality suggests potential issues with core business operations.|High capital expenditure intensity may pressure short-term profitability.,80
JIOFIN,Jio Financial Services Ltd,Operating margin above 15% highlights strong operational efficiency and pricing power.|Consistently positive free cash flow provides financial flexibility for growth and dividends.|Debt-to-equity ratio below 1 reflects a strong balance sheet with conservative leverage.|Interest coverage ratio above 5x shows strong ability to service debt obligations.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|High capital expenditure intensity may pressure short-term profitability.,78
JSWENERGY,JSW Energy Ltd,Double-digit revenue compounded annual growth reflects robust business expansion.|Operating margin above 15% highlights strong operational efficiency and pricing power.|High cash flow from operations quality indicates sustainable core business performance.,Return on equity below 10% indicates subpar profitability and capital allocation.|Return on capital employed below 10% suggests inefficient use of capital resources.|Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,89
JSWSTEEL,JSW Steel Ltd,Asset turnover ratio above 0.5x indicates efficient utilization of company assets.|High cash flow from operations quality indicates sustainable core business performance.,Declining earnings per share indicates falling profitability over time.|Consistently negative free cash flow raises concerns about financial sustainability.|High capital expenditure intensity may pressure short-term profitability.,86
